Himachal Pradesh,10 - Procuration of minor girls (Section 366-A IPC),3
Himachal Pradesh,11 - Importation of Girls from Foreign Country (Section 366-B IPC),0
Himachal Pradesh,12 - Buying of minors for prostitution (Section 373 IPC),0
Himachal Pradesh,13 - Selling of minors for prostitution (Section 372 IPC),0
Himachal Pradesh,"14 - Prohibition of Child Marriage Act, 2006",4
Himachal Pradesh,"15 - Transplantation of Human Organs Act, 1994",0
Himachal Pradesh,"16 - Child Labour (Prohibition & Regulation) Act, 1986",0
Himachal Pradesh,16.1 - Offences committed against Migrant,0
Himachal Pradesh,16.1.1 - Offences committed against SC migrants,0
Himachal Pradesh,16.1.2 - Offences committed against ST migrants,0
Himachal Pradesh,16.1.3 - Offences committed against others migrants,0
Himachal Pradesh,16.2 - Offences committed against Locals,0
Himachal Pradesh,16.2.1 - Offences committed against Local SCs,0
Himachal Pradesh,16.2.2 - Offences committed against Local STs,0
Himachal Pradesh,16.2.3 - Offences committed against others locals,0
Himachal Pradesh,"17 - Immoral Traffic (Prevention) Act, 1956",1
Himachal Pradesh,17.1 - Under ITP Section 5,1
Himachal Pradesh,17.2 - Under ITP Section 6,0
Himachal Pradesh,17.3 - Under ITP Section 7,0
Himachal Pradesh,17.4 - Under ITP Section 8,0
Himachal Pradesh,17.5 - Other Section under ITP Act,0
Himachal Pradesh,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",9
Himachal Pradesh,"19 - Protection of Children from Sexual Offences Act, 2012",22
Himachal Pradesh,19.1 - Under PCSO Act Section 4,16
Himachal Pradesh,19.2 - Under PCSO Act Section 6,3
Himachal Pradesh,19.4 - Under PCSO Act Section 10,2
